"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Conservative_6"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"	"Laminar_Viscosity"	"Skin_Friction_Coefficient_X"	"Skin_Friction_Coefficient_Y"	"Skin_Friction_Coefficient_Z"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Points:0"	"Points:1"	"Points:2"
1.1367	324.05	0.039722	17.323	2.8142e+005	4.7274e-005	94040	288.2	0.0012703	0.83886	1.7895e-005	0	0	0	0	0	3.7792e-006	-2.5054	1.7218	-1.7543
1.1376	323.92	0.1679	17.384	2.8161e+005	4.7325e-005	94146	288.29	0.0035543	0.83773	1.79e-005	0	0	0	0	0	3.804e-006	-1.2717	1.372	-0.94112
1.1376	323.92	0.13404	17.369	2.8162e+005	4.7325e-005	94146	288.29	0.0035681	0.83772	1.79e-005	0	0	0	0	0	3.8039e-006	-1.3524	1.1826	-1.011
1.1367	324.05	0.048767	17.327	2.8142e+005	4.7275e-005	94042	288.2	0.0013069	0.83884	1.7895e-005	0	0	0	0	0	3.7796e-006	-2.4189	1.9953	-1.617
1.1367	324.05	0.04507	17.331	2.8142e+005	4.7273e-005	94038	288.2	0.0012275	0.83888	1.7895e-005	0	0	0	0	0	3.7789e-006	-2.5161	1.9678	-1.4933
1.1375	323.93	0.1866	17.408	2.8159e+005	4.7321e-005	94134	288.28	0.0033048	0.83784	1.7899e-005	0	0	0	0	0	3.8018e-006	-1.2506	1.5339	-0.7978
1.1376	323.93	0.15547	17.392	2.816e+005	4.7322e-005	94138	288.28	0.0033832	0.83781	1.7899e-005	0	0	0	0	0	3.8024e-006	-1.3278	1.3583	-0.86126
1.1367	324.05	0.053762	17.335	2.8142e+005	4.7274e-005	94040	288.2	0.0012636	0.83885	1.7895e-005	0	0	0	0	0	3.7793e-006	-2.4295	2.2187	-1.3683
1.1367	324.05	0.050434	17.339	2.8141e+005	4.7273e-005	94037	288.2	0.0011987	0.83889	1.7895e-005	0	0	0	0	0	3.7787e-006	-2.5161	2.1878	-1.25
1.1367	324.05	0.059053	17.341	2.8142e+005	4.7274e-005	94038	288.2	0.0012353	0.83886	1.7895e-005	0	0	0	0	0	3.7792e-006	-2.4335	2.4176	-1.1361
1.1374	323.95	0.20179	17.43	2.8157e+005	4.7317e-005	94121	288.27	0.003025	0.83798	1.7899e-005	0	0	0	0	0	3.7994e-006	-1.2284	1.6812	-0.66325
1.1375	323.94	0.17424	17.414	2.8158e+005	4.7319e-005	94128	288.27	0.0031638	0.83792	1.7899e-005	0	0	0	0	0	3.8005e-006	-1.3002	1.5182	-0.72125
1.1367	324.05	0.05624	17.345	2.8141e+005	4.7273e-005	94036	288.2	0.0011859	0.83889	1.7895e-005	0	0	0	0	0	3.7787e-006	-2.5101	2.3843	-1.0246
1.1367	324.05	0.065335	17.347	2.8142e+005	4.7274e-005	94038	288.2	0.0012234	0.83887	1.7895e-005	0	0	0	0	0	3.7792e-006	-2.4349	2.5943	-0.92118
1.1373	323.97	0.20225	17.451	2.8153e+005	4.7311e-005	94103	288.25	0.0026294	0.83817	1.7898e-005	0	0	0	0	0	3.7961e-006	-1.2455	1.7966	-0.46915
1.1367	324.05	0.06312	17.349	2.8141e+005	4.7274e-005	94036	288.2	0.0011917	0.83888	1.7895e-005	0	0	0	0	0	3.7788e-006	-2.5022	2.5593	-0.81771
1.1374	323.95	0.18995	17.434	2.8156e+005	4.7315e-005	94116	288.26	0.0029112	0.83803	1.7898e-005	0	0	0	0	0	3.7984e-006	-1.2719	1.664	-0.59058
1.1367	324.05	0.054218	17.348	2.8141e+005	4.7272e-005	94034	288.2	0.0011395	0.83891	1.7895e-005	0	0	0	0	0	3.7783e-006	-2.5798	2.3531	-0.90936
1.1373	323.96	0.17956	17.437	2.8155e+005	4.7313e-005	94111	288.26	0.002805	0.83809	1.7898e-005	0	0	0	0	0	3.7975e-006	-1.3111	1.6479	-0.51554
1.1367	324.05	0.061614	17.351	2.8141e+005	4.7273e-005	94035	288.2	0.0011615	0.8389	1.7895e-005	0	0	0	0	0	3.7785e-006	-2.5624	2.5271	-0.71093
1.1326	324.53	-0.40906	17.675	2.8054e+005	4.7095e-005	93561	287.78	-0.0090536	0.84382	1.7875e-005	0	0	0	0	0	3.6858e-006	0.38572	2.3049	1.5378
1.1351	324.25	-0.1268	17.436	2.8109e+005	4.7207e-005	93856	288.04	-0.0026879	0.84078	1.7888e-005	0	0	0	0	0	3.7437e-006	-0.14366	3.3768	2.3018
1.1351	324.25	-0.15813	17.425	2.8108e+005	4.7205e-005	93851	288.04	-0.0028032	0.84084	1.7887e-005	0	0	0	0	0	3.7426e-006	-0.023874	3.4008	2.3352
1.1349	324.27	-0.17008	17.392	2.8105e+005	4.7199e-005	93835	288.02	-0.0031501	0.841	1.7887e-005	0	0	0	0	0	3.7394e-006	-0.051832	3.0966	2.5874
1.1363	324.17	-0.36136	15.548	2.8133e+005	4.7535e-005	93992	288.16	0.00023072	0.83931	1.7893e-005	0	0	0	0	0	3.8551e-006	5.6413	0.34692	2.4145
